date_time;nox;no2;no;siteid;pm10;nvpm10;vpm10;nvpm25;pm25;vpm25;co;o3;so2;temp;rh;press;location;geo_point_2d;datestart;dateend;current;instrumenttype
2020-10-26T20:00:00+00:00;34.1592;28.6397;3.5997;500;20.29;;;;;;;;;8.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-26T21:00:00+00:00;36.1864;29.2746;4.5077;500;18.358;;;;;;;;;7.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-27T17:00:00+00:00;42.2682;31.9254;6.7454;500;25.121;;;;;;;;;9.2;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-28T12:00:00+00:00;68.6224;36.0525;21.2415;500;21.256;;;;;;;;;11.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-28T22:00:00+00:00;13.6333;11.3459;1.4918;500;22.223;;;;;;;;;8.9;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-29T00:00:00+00:00;6.2845;5.6878;0.3892;500;15.459;;;;;;;;;8.5;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-29T08:00:00+00:00;93.659;45.2268;31.5866;500;16.425;;;;;;;;;11.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-29T18:00:00+00:00;27.672;20.1635;4.8969;500;10.628;;;;;;;;;12.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-29T19:00:00+00:00;18.7014;14.1764;2.9511;500;10.628;;;;;;;;;12.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-30T02:00:00+00:00;4.1559;3.3105;0.5513;500;13.527;;;;;;;;;13.5;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-30T07:00:00+00:00;41.66;27.2895;9.3722;500;6.763;;;;;;;;;13.3;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-30T16:00:00+00:00;54.5837;43.6939;7.1021;500;12.561;;;;;;;;;14.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-30T18:00:00+00:00;64.1625;51.9301;7.9777;500;14.493;;;;;;;;;14.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-31T18:00:00+00:00;28.0774;23.5027;2.9835;500;27.054;;;;;;;;;8.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-01T00:00:00+00:00;7.2981;5.8395;0.9513;500;27.054;;;;;;;;;9.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-01T01:00:00+00:00;9.5788;8.8329;0.4864;500;24.155;;;;;;;;;9.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-01T08:00:00+00:00;11.3526;9.5128;1.1999;500;;;;;;;;;;14.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-01T13:00:00+00:00;32.7401;21.1044;7.5886;500;;;;;;;;;;14.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-01T15:00:00+00:00;32.5374;16.2773;10.6045;500;;;;;;;;;;14.8;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-02T03:00:00+00:00;1.7232;1.2259;0.3243;500;;;;;;;;;;15.5;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-02T12:00:00+00:00;27.2665;17.421;6.4211;500;20.29;;;;;;;;;11.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-02T13:00:00+00:00;29.2938;18.0062;7.3616;500;23.189;;;;;;;;;10.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-02T14:00:00+00:00;30.8649;20.7707;6.5832;500;28.02;;;;;;;;;10.3;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-02T17:00:00+00:00;36.6425;26.2003;6.8103;500;16.425;;;;;;;;;8.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-04T03:00:00+00:00;164.2579;47.5534;76.1127;500;19.324;;;;;;;;;3.3;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-05T03:00:00+00:00;270.7899;55.5801;140.3562;500;33.817;;;;;;;;;3.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-05T20:00:00+00:00;422.935;98.0816;211.8639;500;189.375;;;;;;;;;2.9;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
